sample_id,audio_path,reference_text,spoken_text,split,source,consent_status,speaker_id,scenario_id,difficulty_group,term_targets,noise_condition,approval_id,deidentified,label_reviewer,label_review_status,tts_voice,tts_rate,audio_duration_seconds,audio_sha256
syn_train_001,audio/syn_train_001.wav,검사 이동 AGV 모델 Q502의 주행 경로 항목을 확인한 뒤 컨베이어 상태를 확인합니다.,검사 이동 에이지브이 모델 큐 오백이의 주행 경로 항목을 확인한 뒤 컨베이어 상태를 확인합니다.,train,synthetic_windows_system_speech,synthetic,synthetic_heami_rate_-4,agv,error_prone,AGV|컨베이어|Q502,quiet_tts,SYNTHETIC-FIXTURE-NO-HUMAN-DATA,true,not_applicable_synthetic_source_text,synthetic_generated,Microsoft Heami Desktop,-4,11.480,36c31f2ee5478c11fb3c1ee86a6f2b5f95f73e629f5ffadeb8d902d2f7d713e1
syn_train_002,audio/syn_train_002.wav,검사 이동 AGV 모델 Q501의 배터리 잔량 항목을 점검한 뒤 컨베이어 상태를 확인합니다.,검사 이동 에이지브이 모델 큐 오백일의 배터리 잔량 항목을 점검한 뒤 컨베이어 상태를 확인합니다.,train,synthetic_windows_system_speech,synthetic,synthetic_heami_rate_-3,agv,error_prone,AGV|컨베이어|Q501,fan_noise_snr20db,SYNTHETIC-FIXTURE-NO-HUMAN-DATA,true,not_applicable_synthetic_source_text,synthetic_generated,Microsoft Heami Desktop,-3,10.761,00c382bf73cd3ca7782d5e038d764699fb8f21b917703c854a4ffcae06faba0c
syn_train_003,audio/syn_train_003.wav,검사 이동 AGV 모델 T601의 정지 센서 항목을 기록한 뒤 컨베이어 상태를 확인합니다.,검사 이동 에이지브이 모델 티 육백일의 정지 센서 항목을 기록한 뒤 컨베이어 상태를 확인합니다.,train,synthetic_windows_system_speech,synthetic,synthetic_heami_rate_-2,agv,error_prone,AGV|컨베이어|T601,equipment_hum_snr14db,SYNTHETIC-FIXTURE-NO-HUMAN-DATA,true,not_applicable_synthetic_source_text,synthetic_generated,Microsoft Heami Desktop,-2,9.605,b6e99e880fe0304c7f62288fd7dec910172f33fea35b606a41c1e2e0084683c6
syn_train_004,audio/syn_train_004.wav,공정 이동 AGV 모델 M402의 도킹 위치 항목을 검증한 뒤 컨베이어 상태를 확인합니다.,공정 이동 에이지브이 모델 엠 사백이의 도킹 위치 항목을 검증한 뒤 컨베이어 상태를 확인합니다.,train,synthetic_windows_system_speech,synthetic,synthetic_heami_rate_-4,agv,error_prone,AGV|컨베이어|M402,hard_factory_noise_snr8db,SYNTHETIC-FIXTURE-NO-HUMAN-DATA,true,not_applicable_synthetic_source_text,synthetic_generated,Microsoft Heami Desktop,-4,11.872,caf75f698d8286e80b56ca0503960f9700f3762ae6089898d13debde214038e8
syn_train_005,audio/syn_train_005.wav,공정 이동 AGV 모델 M401의 정지 센서 항목을 기록한 뒤 컨베이어 상태를 확인합니다.,공정 이동 에이지브이 모델 엠 사백일의 정지 센서 항목을 기록한 뒤 컨베이어 상태를 확인합니다.,train,synthetic_windows_system_speech,synthetic,synthetic_heami_rate_-3,agv,error_prone,AGV|컨베이어|M401,quiet_tts,SYNTHETIC-FIXTURE-NO-HUMAN-DATA,true,not_applicable_synthetic_source_text,synthetic_generated,Microsoft Heami Desktop,-3,10.605,21398233d88f31efa8b790e9b3000d83fa7efa381813ad3d1dde20dc79298736
syn_train_006,audio/syn_train_006.wav,자재 운반 AGV 모델 X102의 주행 경로 항목을 확인한 뒤 컨베이어 상태를 확인합니다.,자재 운반 에이지브이 모델 엑스 백이의 주행 경로 항목을 확인한 뒤 컨베이어 상태를 확인합니다.,train,synthetic_windows_system_speech,synthetic,synthetic_heami_rate_-2,agv,error_prone,AGV|컨베이어|X102,fan_noise_snr20db,SYNTHETIC-FIXTURE-NO-HUMAN-DATA,true,not_applicable_synthetic_source_text,synthetic_generated,Microsoft Heami Desktop,-2,9.369,c8cd6921a5e24bbe2df88be29cc0eb07b2dc67152fadd0bbba394be174994cc5
syn_train_007,audio/syn_train_007.wav,출하 이동 AGV 모델 S902의 주행 경로 항목을 확인한 뒤 컨베이어 상태를 확인합니다.,출하 이동 에이지브이 모델 에스 구백이의 주행 경로 항목을 확인한 뒤 컨베이어 상태를 확인합니다.,train,synthetic_windows_system_speech,synthetic,synthetic_heami_rate_-4,agv,error_prone,AGV|컨베이어|S902,equipment_hum_snr14db,SYNTHETIC-FIXTURE-NO-HUMAN-DATA,true,not_applicable_synthetic_source_text,synthetic_generated,Microsoft Heami Desktop,-4,11.458,b3cf54e1344dcae673eeddc1e8e1d37ba88d1de35f420384537882748730bbaf
syn_train_008,audio/syn_train_008.wav,출하 이동 AGV 모델 G1002의 도킹 위치 항목을 검증한 뒤 컨베이어 상태를 확인합니다.,출하 이동 에이지브이 모델 지 천이의 도킹 위치 항목을 검증한 뒤 컨베이어 상태를 확인합니다.,train,synthetic_windows_system_speech,synthetic,synthetic_heami_rate_-3,agv,error_prone,AGV|컨베이어|G1002,hard_factory_noise_snr8db,SYNTHETIC-FIXTURE-NO-HUMAN-DATA,true,not_applicable_synthetic_source_text,synthetic_generated,Microsoft Heami Desktop,-3,10.298,0328e1515649cf0e15881608153098f2fe53511eb2eeb24802b8dbad3a3c7b44
syn_train_009,audio/syn_train_009.wav,출하 이동 AGV 모델 G1001의 정지 센서 항목을 기록한 뒤 컨베이어 상태를 확인합니다.,출하 이동 에이지브이 모델 지 천일의 정지 센서 항목을 기록한 뒤 컨베이어 상태를 확인합니다.,train,synthetic_windows_system_speech,synthetic,synthetic_heami_rate_-2,agv,error_prone,AGV|컨베이어|G1001,quiet_tts,SYNTHETIC-FIXTURE-NO-HUMAN-DATA,true,not_applicable_synthetic_source_text,synthetic_generated,Microsoft Heami Desktop,-2,9.228,cfd66a8ef5ba4fc463a002111ccf8247e91c42e712204c420b489ac30fe49dd0
syn_train_010,audio/syn_train_010.wav,포장 이동 AGV 모델 V702의 주행 경로 항목을 확인한 뒤 컨베이어 상태를 확인합니다.,포장 이동 에이지브이 모델 브이 칠백이의 주행 경로 항목을 확인한 뒤 컨베이어 상태를 확인합니다.,train,synthetic_windows_system_speech,synthetic,synthetic_heami_rate_-4,agv,error_prone,AGV|컨베이어|V702,fan_noise_snr20db,SYNTHETIC-FIXTURE-NO-HUMAN-DATA,true,not_applicable_synthetic_source_text,synthetic_generated,Microsoft Heami Desktop,-4,11.680,f5e4f6095593a06492cba6b3cbe37a6a76439e554a348bbe0119fb56083bfd01
