canonical,aliases,category
프레스 3호기,프레스 삼호기|프레스 삼오기,설비
베어링,배어링|베링|배링,부품
컨베이어,콘베이어|컨베아|컨베이여,설비
비전 검사기,비젼 검사기|비전검사기|비젼검사기,검사
설비 이상,설비이상|설비 이쌍,상태
PLC,피엘씨|피엘시|피엘 씨|P L C,제어
HMI,에이치엠아이|에이치 엠 아이|에이치엠에이|H M I,제어
CNC 선반,씨엔씨 선반|시엔시 선반|씨엔시 선반|C N C 선반,가공
AGV,에이지브이|에이쥐브이|에이지비|A G V,물류
AOI 검사기,에이오아이 검사기|에이 오 아이 검사기|에이오아이검사기|A O I 검사기,검사
1호기,일 호기|일호기,설비번호
2호기,이 호기|이호기,설비번호
3호기,삼 호기|삼호기,설비번호
4호기,사 호기|사호기,설비번호
5호기,오 호기|오호기,설비번호
X101,엑스 백일|X 101|X-101,모델코드
X102,엑스 백이|X 102|X-102,모델코드
K201,케이 이백일|K 201|K-201,모델코드
K202,케이 이백이|K 202|K-202,모델코드
A301,에이 삼백일|A 301|A-301,모델코드
A302,에이 삼백이|A 302|A-302,모델코드
M401,엠 사백일|M 401|M-401,모델코드
M402,엠 사백이|M 402|M-402,모델코드
Q501,큐 오백일|Q 501|Q-501,모델코드
Q502,큐 오백이|Q 502|Q-502,모델코드
T601,티 육백일|T 601|T-601,모델코드
T602,티 육백이|T 602|T-602,모델코드
V701,브이 칠백일|V 701|V-701,모델코드
V702,브이 칠백이|V 702|V-702,모델코드
R801,알 팔백일|R 801|R-801,모델코드
R802,알 팔백이|R 802|R-802,모델코드
S901,에스 구백일|S 901|S-901,모델코드
S902,에스 구백이|S 902|S-902,모델코드
G1001,지 천일|G 1001|G-1001,모델코드
G1002,지 천이|G 1002|G-1002,모델코드
용접 로봇,용접로봇|용접 로보트|용접 로봇트,설비
체결 토크,체결토크|채결 토크|체결 토크값,조립
안전 센서,안전센서|안전 쎈서|안전 센써,안전
유압 압력,유압압력|유압 압녁|유압압녁,설비
비상 정지,비상정지|비상 정치|비상 정찌,안전
